Business Name,Category,City,Area/Locality,Full Address,Pincode,Contact Number,Website Available,Website URL,Google Maps Link,Google Rating,Total Reviews,Latitude,Longitude,Business Status,Business Size,Rating Category,Has Website,Has Contact,High Rated,Popular Business,Opportunity Score,Review Group
Omkar Electricals,Electrical Shop,Raigad,Panvel,"X4P6+H77, Municipal Shopping Complex, Bhaji Market, Appasaheb Panhale Rd, opposite Krishnali Talava, Old Panvel, Panvel, Maharashtra 410206",410209,9224484235,NO,,https://www.google.com/maps/search/Omkar+Electricals+Panvel,0,0,19.05003246,73.12988755,Open,Small,Poor,0,1,0,0,100,Very Low
Mahalaxmi Stationery,Stationery Store,Raigad,Panvel,"Dombivli, Nandivli, Dombivli East, Kalyan, Maharashtra ",421204,Unknown,NO,,https://www.google.com/maps/search/Mahalaxmi+Stationery+Panvel,4.6,11,19.23994817,73.08964998,Open,Small,Excellent,0,1,1,0,32.85,Low
Shree Krishna Traders,Hardware Store,Raigad,Panvel,"Shree Krishna Gypsum Traders, Plot no 71, Rd Number 2, Sector 1A, New Panvel East, Panvel, Maharashtra 410206",410206,9767272211,NO,,https://maps.app.goo.gl/GJko2sdWLvSh8hqw5,5,1,19.00034582,73.11602029,Open,Small,Excellent,0,1,1,0,6.93,Very Low
Shree Ganesh Enterprises,Services Provider,Raigad,Panvel,"Shop No 11/2, Pl-6, Cidco Colony, Sector 17, New Panvel East, Panvel, Maharashtra 410206",410206,9619613425,NO,,https://maps.app.goo.gl/BuRGg785hmjEtQMh9,5,2,18.99958084,73.12046263,Open,Small,Excellent,0,1,1,0,10.99,Very Low
Om Sai Enterprises,Services Provider,Raigad,Panvel,"CIDCO Market, Sector - 10, New Panvel East, W, Panvel, Maharashtra 410206",410206,Unknown,NO,,https://maps.app.goo.gl/VqWcA54wTqSvehEq7,4,1,19.0278394,73.10957556,Open,Small,Average,0,1,0,0,26.93,Very Low
Aarti Medical,Medical Store,Raigad,Panvel,"237W+Q5H, Shop No.8 & 9, Varad Co-Operative Housing Society, Plot No. 72, 168, Sector 21, Kamothe, Panvel, Maharashtra 410209",410209,2227430438,NO,,https://maps.app.goo.gl/5KW4euNsq8vT8gcy6,4,24,19.01515577,73.09593844,Open,Small,Average,0,1,0,0,52.19,Low
Vaibhav Hardware,Hardware Store,Raigad,Karjat,"Shop No 6, Mapal Green Building, Chandai Rd, Ukrul, Karjat, Maharashtra 410201",410201,9967953080,NO,,https://maps.app.goo.gl/iiNJejq94V9RCWgc8,5,13,18.99770326,73.33690089,Open,Small,Excellent,0,1,1,0,26.39,Low
Riddhi Siddhi Jewellers,Jewellery Store,Raigad,Panvel,"Shop No.8, RIDDHI SIDDHI RESIDENCY, Sector 3, New Panvel East, Panvel, Navi Mumbai, Panvel, Maharashtra 410206",410206,9833989862,NO,,https://maps.app.goo.gl/uvy2WTLapEyWgJUe9,5,22,19.03124857,73.11674631,Open,Small,Excellent,0,1,1,0,31.35,Low
New Bharat Electronic And Hardware,Hardware Store,Raigad,Panvel,"krushna kunj, plot no 20, Sector 15, Kamothe, Panvel, Maharashtra 410209",410209,8454817381,NO,,https://maps.app.goo.gl/eBENhqs1bxVmGrzV9,0,0,19.02094809,73.09292597,Open,Small,Poor,0,1,0,0,100,Very Low
Shivam Electricals,Electrical Shop,Raigad,Panvel,"Marwah Heritage, 01, Uran Rd, opp. Bharat Gas, Old Panvel, Panvel, Adai, Panvel, Maharashtra 410206",410206,9867663436,NO,,https://maps.app.goo.gl/v7kWuEzTX2fz2eCv8,5,14,19.00736721,73.10324044,Open,Small,Excellent,0,1,1,0,27.08,Low
Om Medical & General Store,Medical Store,Raigad,Panvel,"Shop No. 3, Kaushik A, RG Gadkari Rd, opp. Gavdevi Temple, nr. Dandekar hospital, Old Panvel, Panvel, Maharashtra 410206",410206,9819540190,NO,,https://maps.app.goo.gl/veHVL2U5jru1sqvk8,0,0,18.99598998,73.11194078,Open,Small,Poor,0,1,0,0,100,Very Low
Jai Maharashtra Hardware,Hardware Store,Raigad,Panvel,"Jay maharashtra electric hardware, Matheran Rd, Yamuna Kunj, Sukapur, East, Panvel, Palidevad, Maharashtra 410206",410206,9594237734,NO,,https://maps.app.goo.gl/k3tRQ8NRQ5yQK8Ve8,5,41,19.00038798,73.12950156,Open,Small,Excellent,0,1,1,0,37.38,Low
Krishna Medical,Medical Store,Raigad,Panvel,"SHOP NO- 1 SURVEY NO - 1/ 48 & 49 , MANIVALI AT POST CHOWK MARKET KARJAT, PANVEL, Maharashtra 410207",410207,7887778090,NO,,https://maps.app.goo.gl/Bu8zPTGQ887ocyBU8,4.9,27,18.90681443,73.2409354,Open,Small,Excellent,0,1,1,0,35.32,Low
Shree Venkatesh Traders,General Store,Raigad,Panvel,"Old Panvel, Panvel, Navi Mumbai, Panvel, Maharashtra 410206",410206,9322450505,NO,,https://maps.app.goo.gl/caB4Ht2cuhLYMAAi9,0,0,18.98651759,73.11132667,Open,Small,Poor,0,1,0,0,100,Very Low
Pooja Hardware,Hardware Store,Raigad,Panvel,"Shop No. 16, Shop No 16 Plot no 50, Plot No.50, Haware Splendor Rd, Sector 20, Kharghar, Panvel, Maharashtra 410210",410210,9920791552,NO,,https://maps.app.goo.gl/bewRxt7QDtVeGes9A,4.7,11,19.0583199,73.07362531,Open,Small,Excellent,0,1,1,0,30.85,Low
Sai Krupa Stationery,Gift Shop,Raigad,Panvel,"Shop No.84, Municipal Shopping Complex, Appasaheb Panhale Rd, Old Panvel, Panvel, Maharashtra 410206",410206,8898508644,NO,,https://maps.app.goo.gl/m8LnWEC8Ko2jYgmRA,3.7,6,19.01752147,73.11754474,Open,Small,Average,0,1,0,0,45.46,Very Low
Thakur Infraprojects Pvt Ltd,Construction Company,Raigad,Panvel,"Plot No: 265/1, Uran Naka, Om Sadanika, Uran - Panvel Rd, Old Panvel, Panvel, Maharashtra 410206",410206,9769409121,YES,http://thakurinfraprojects.in/,https://maps.app.goo.gl/ETF31p34t2fgrPVF6,4.3,137,19.0113806,73.11095758,Open,Medium,Good,1,1,0,1,63.27,High
Space India Builders & Developers,Construction Company,Raigad,Panvel,"Shop No 28-31, Payal Complex, opposite Panvel Railway Station, Sector 17, New Panvel East, Panvel, Maharashtra 410206",410206,9322277888,YES,https://www.spaceindia.in/,https://maps.app.goo.gl/BowmVfjfo2ej5Azs8,4.7,1484,19.0196928,73.12743707,Open,Popular,Excellent,1,1,1,1,79.03,Very High
Sarvoday Agro And Machinery,Agricultural Equipment Dealer,Raigad,Panvel,"Market Yard Rd, Old Panvel, Panvel, Maharashtra 410206",410206,9920371552,NO,,https://maps.app.goo.gl/vFZNaUxqqS2atUJs8,4,8,18.9832355,73.11095757,Open,Small,Average,0,1,0,0,41.97,Very Low
Om Agro Centre,Agricultural Equipment Dealer,Raigad,Panvel,"Gala No. 19, Sai Pratik Building, Market Yard Rd, Old Panvel, Panvel, Maharashtra 410206",410206,9322281840,NO,,https://maps.app.goo.gl/xwrZF7JqHRa9MXyv6,3.8,33,18.9897979,73.10546441,Open,Small,Average,0,1,0,0,59.26,Low
Vikram Internet Services,Services Provider,Raigad,Panvel,"Citi Park CHS, 06 Sai Sadhana, Khanda Colony, Sector 10, Greater Khanda, Panvel, Maharashtra 410206",410206,9702084080,NO,,https://maps.app.goo.gl/LRg8SWU65En1byZSA,4.7,185,19.06364942,73.11074434,Open,Medium,Excellent,0,1,1,1,58.26,High
The Happy Place Gift Shop,Gift Shop,Raigad,Panvel,"Shop No-4, Sai Saaj Cooperative Housing Limited, opp. Gurudwara Road, CHS, Sector 5, New Panvel East, Panvel, Maharashtra 410206",410206,9769909784,YES,https://www.thehappyplacestore.co.in/,https://maps.app.goo.gl/1kiEu97m3QsT8yiw8,4.8,354,19.06359126,73.09426485,Open,Large,Excellent,1,1,1,1,62.72,High
Swami Electronics,Electronics Store,Raigad,Panvel,"Shop NO 201, near Shree Datta Snacks, Palaspe Phata, Panvel, Kolkhe, Maharashtra 410221",410221,9209270021,NO,,https://maps.app.goo.gl/tVN6CzXoAex6AvWY8,5,290,18.98625642,73.12863418,Open,Large,Excellent,0,1,1,1,56.73,High
Kk Electrical And Hardware,Electrical Shop,Raigad,Panvel,"shop no -4, Uran naka, Abhi deep society, Old Panvel, Maharashtra 410206",410206,9920864288,NO,,https://maps.app.goo.gl/qBVV8u4csRwEKPAh9,4.6,28,18.99845135,73.10546441,Open,Small,Excellent,0,1,1,0,41.67,Low
Alibag Bazaar,Grocery Store,Raigad,Alibaug,"Radha Govind Nagar , Chendre, Chendhare, Maharashtra 402201",402201,8806566827,NO,,https://maps.app.goo.gl/45PwcGepBmju3t4Y8,4.1,293,18.6577832,72.87643342,Open,Large,Good,0,1,0,1,74.84,High
Alankar Stores,Grocery Store,Raigad,Alibaug,"MV3G+62R, Nagdongari, chendhre, Alibaug Rewas Rd, Shivaji Nagar, Chendhare, Maharashtra 402201",402201,Unknown,NO,,https://maps.app.goo.gl/ZDJqGWWTNYdELSym9,4.1,176,18.65379055,72.87476991,Open,Medium,Good,0,1,0,1,69.76,High
Smart Raigad Bazar,Shopping Mall,Raigad,Alibaug,"Koliwada, Alibag, Maharashtra 402201",402201,Unknown,NO,,https://maps.app.goo.gl/TC9DkjJ2DrvqM9ht7,4,2160,18.64671665,72.8774042,Open,Popular,Average,0,1,0,1,96.78,Very High
Reliance Smart Superstore,Supermarket,Raigad,Alibaug,"Ground Floor Thikrulnaka, Raigad Bazar, opposite Shetkari Bhavan, Shribag No.3, Chendhare, Maharashtra 402201",402201,18008910001,YES,https://stores.reliancesmartbazaar.com/reliance-smart-superstore-hypermarket-alibagh-alibag-280648/Home,https://maps.app.goo.gl/22xtUjzA2s5sULPAA,4.1,191,18.64734993,72.87624731,Open,Medium,Good,1,1,0,1,70.57,High
Snehanjali Electronics,Electronics Store,Raigad,Alibaug,"JVWG+4F3, Thikrul Naka Mitra, Shribag No.3, Alibag, Maharashtra 402201",402201,Unknown,YES,https://snehanjali.in/,https://maps.app.goo.gl/JQMNSCrmvo7DKPEP9,4.8,865,18.64586461,72.8761594,Open,Large,Excellent,1,1,1,1,71.64,Very High
Maharashtra Store,Grocery Store,Raigad,Alibaug,"MV6H+26V, oppo. my shop, Alibaug Rewas Rd, Vidya Nagar, Varasoli, Maharashtra 402201",402201,8329846446,NO,,https://maps.app.goo.gl/1DsA8xTb8sUJm6Be7,4.2,21,18.66062614,72.87799568,Open,Small,Good,0,1,0,0,46.91,Low
Cambridge Apparels,Clothing Store,Raigad,Alibaug,"near Areeka Electronics, opp. Kotak Mahindra Bank, Shribag No.3, Alibag, Chendhare, Maharashtra 402201",402201,9970288702,NO,,https://maps.app.goo.gl/wuoPkqG9NwEUG2i26,4.2,48,18.64725018,72.8767818,Open,Small,Good,0,1,0,0,54.92,Low
Wellness Forever Pharmacy,Pharmacy,Raigad,Alibaug,"Shop nos.7, 8 & 9 Shivaji Chowk, Joglekar Naka, Alibag, Maharashtra 402201",402201,8657949912,YES,https://www.wellnessforever.com/,https://maps.app.goo.gl/EWt75KqZaYYzoHR48,4.5,112,18.64614537,72.87493135,Open,Medium,Good,1,1,1,1,57.27,High
Madhur Mart,Supermarket,Raigad,Alibaug,"Shop Number 4, Alibag Beach Rd, Shribag No.3, Alibag, Maharashtra 402201",402201,7776045551,NO,,https://maps.app.goo.gl/qHJ39vjdY7qdq6oM9,4,468,18.64445834,72.87340452,Open,Large,Average,0,1,0,1,81.51,High
Twills Menswear,Clothing Store,Raigad,Alibaug,"MUNCIPAL COUNCIL OFFICE, NEW, Alibag - Pen Rd, near Nagar Palika, Shribag No.3, Chendhare, Alibag, Maharashtra 402201",402201,2141223222,NO,,https://maps.app.goo.gl/dBLWPAAhA1tAdTho7,4.3,96,18.64788184,72.8774992,Open,Medium,Good,0,1,0,0,59.75,Medium
Digi1 Alibaug,Electronics Store,Raigad,Alibaug,"Bus Stand, CTS-18, behind Alibaug, Shribag No.3, Chendhare, Maharashtra 402201",402201,8976711929,YES,https://www.digi1.in/,https://maps.app.goo.gl/jKnyM6o8Dex6r1zZ9,5,1888,18.64831328,72.8756118,Open,Popular,Excellent,1,1,1,1,75.44,Very High
Kamakshi Communications,Services Provider,Raigad,Alibaug,"1127, Maharshi Karve Rd, opp. Rajasthan Bhojnalaya, Koliwada, Alibag, Maharashtra 402201",402201,7378383831,NO,,https://maps.app.goo.gl/58ea6rF6dr223vD6A,4.7,107,18.64370055,72.87302949,Open,Medium,Excellent,0,1,1,1,52.82,High
Asim Sales & Supply,Supply Store,Raigad,Alibaug,"Block No 4, Ekta Co Op HSG Society, Opp Bank of Baroda, Chendhre, Alibag - Revas Rd, Chendhare, Maharashtra 402201",402201,9763578619,YES,http://asimsales.com/,https://maps.app.goo.gl/L9Tu2g5D2bTjpt5n9,4.5,10,18.65195722,72.87472507,Open,Small,Good,1,1,1,0,33.98,Very Low
Genericart Medicine Store,Pharmacy,Raigad,Alibaug,"Milkat No 1340, Brahman Ali, Shop No 1 ,Gr Floor, Vijayadurga Society, Alibag, Maharashtra 402201",402201,8007026266,YES,https://franchise.genericartmedicine.com/genericart-medicine-store-alibag-generic-medicine-store-pharmacy-alibag-alibag-312142,https://maps.app.goo.gl/2i3nqygDpLW39PKi8,5,53,18.64815853,72.87358324,Open,Medium,Excellent,1,1,1,0,39.89,Medium
Mayoor Bakery,Sweet Shop And Bakerie,Raigad,Alibaug,"Tilak Rd, PNP Nagar, Alibag, Maharashtra 402201",402201,8180985566,NO,,https://maps.app.goo.gl/Vow7EWYWzGHd9jzk6,4.4,845,18.64553064,72.87148394,Open,Large,Good,0,1,0,1,79.41,Very High
Ivas Tiles,Hardware Store,Raigad,Alibaug,"Alibaug Rewas Rd, Vidya Nagar, Varasoli, Maharashtra 402201",402201,9606350000,YES,https://inframarketstores.com/branded-retail-city-alibaug?utm_source=Google&utm_medium=GMB,https://maps.app.goo.gl/Aurq9CXQn4nX7xNB7,4.4,86,18.66080224,72.87797634,Open,Medium,Good,1,1,0,0,56.66,Medium
Evergreen Electronics,Electronics Store,Raigad,Alibaug,"Sneha Apartment, Opposite ICICI Bank, Near ST Stand, Chendhare, Maharashtra 402201",402201,9372210014,YES,https://evergreenelectronicsalibag.com/,https://maps.app.goo.gl/svBrV5Ym1h8bGZCa6,3.9,112,18.6493606,72.87515641,Open,Medium,Average,1,1,0,1,69.27,High
Bafna Hardware Stores,Hardware Store,Raigad,Alibaug,"JVVF+FMF, chh. Shivaji road, opp. jain temple, Alibag, Maharashtra 402201",402201,9822250250,NO,,https://maps.app.goo.gl/oF766ddCJUZT24eb9,4.3,125,18.64443517,72.87390721,Open,Medium,Good,0,1,0,1,62.36,High
Poornima General Stores,General Store,Raigad,Alibaug,"Shop No 9, LAXMINARAYAN MANDIR, Bazar Peth Rd, opposite AATHAVALE FURNITURE, Koliwada, Alibag, Maharashtra 402201",402201,8888166150,NO,,https://maps.app.goo.gl/F5aFHEF85pyAdwcn7,4.1,8,18.64376555,72.87455744,Open,Small,Good,0,1,0,0,39.97,Very Low
Kids Planet,Clothing Store,Raigad,Alibaug,"shop no 3 , Ground Floor, Pacific business complex, Address:, joglekar Naka, Shribag No.3, Alibag, Maharashtra 402201",402201,9922725303,NO,,https://maps.app.goo.gl/xJhwqNvZw6ySQf847,5,1,18.64748814,72.87522539,Open,Small,Excellent,0,1,1,0,6.93,Very Low
Vardhaman Enterprises,Building Material Supplier,Raigad,Alibaug,"Bypass Rd, opp. KOHINOOR COMPLEX, Patilwadi, Chendhare, Maharashtra 402201",402201,9657777666,NO,,https://maps.app.goo.gl/vb3rs9zYeRk8pntP8,4.9,54,18.65412362,72.87683162,Open,Medium,Excellent,0,1,1,0,42.07,Medium
Café School,Restaurant,Raigad,Alibaug,"H.NO.1949, 7/8, Bypass Rd, opposite Church, Dwarika Co-opretive Houseing Society, Pantnagar, Chendhare, Alibag, Maharashtra 402201",402201,8329372608,YES,http://cafeschool.in/,https://maps.app.goo.gl/MRUPjtim3u38NBpJ8,4.6,2893,18.65339213,72.87943135,Open,Popular,Excellent,1,1,1,1,87.7,Very High
Hotel Guruprasad,Hotels & Lodges,Raigad,Alibaug,"Mumbai Road, opposite Jio Petrol Pump, near Bypass Road, Shribag No.2, Chendhare, Alibag, Maharashtra 402201",402201,Unknown,NO,,https://maps.app.goo.gl/qrw4zGsCfMmCtgVi6,4.2,2291,18.65225361,72.88183461,Open,Popular,Good,0,1,0,1,93.37,Very High
Waves Restaurant,Restaurant,Raigad,Alibaug,"Maharshi Karve Rd, opp. Axis Bank, Limaye Wadi, Alibag, Maharashtra 402201",402201,7507353467,YES,http://www.sagarhotel.co.in/,https://maps.app.goo.gl/uDnQoFAau1eAvsSG8,4.2,2066,18.64487324,72.87175268,Open,Popular,Good,1,1,0,1,92.34,Very High
Kasturi Restaurant,Restaurant,Raigad,Alibaug,"Front of, M.I.D.C. Office, Dattatrey Co-Op Housing Society, near Telephone Exchange, Nagdongari, Chendhare, Alibag, Maharashtra 402201",402201,8806232200,YES,http://kasturimahilaudyogrestaurant.com/,https://maps.app.goo.gl/CNdk4f3y5QAk25yU8,3.9,1978,18.65328634,72.87536444,Open,Popular,Average,1,1,0,1,97.9,Very High
Vassco Da Goa,Restaurant,Raigad,Alibaug,"Vassco-Da-Goa, Varsoli Beach, Alibaug (Near Mumbai, Varasoli, Maharashtra 402201",402201,9833507991,NO,,https://maps.app.goo.gl/HGNrvHnSuxpoWA6E7,4.1,897,18.65997818,72.86517258,Open,Large,Good,0,1,0,1,86,Very High
Rustic Palms Restaurant & Rooms,Hotels & Lodges,Raigad,Alibaug,"Rajmala stop, Alibag - Revas Rd, Alibag, Bamnoli, Maharashtra 402207",402201,9967645939,YES,https://www.rusticpalms.in/,https://maps.app.goo.gl/S5gwYGgFhf6xm9e96,4.3,360,18.67754867,72.8798174,Open,Large,Good,1,1,0,1,72.89,High
Hotel Ashoka Pure Veg Restaurant,Restaurant,Raigad,Alibaug,"Bus Stand, Alibaug Rewas Rd, opposite ST, PNP Nagar, Alibag, Maharashtra 402201",402201,9421265172,NO,,https://maps.app.goo.gl/iUKa8rfeUuKA35xV6,4,997,18.64868915,72.87427076,Open,Large,Average,0,1,0,1,89.06,Very High
Cheesy Crust Cafe,Restaurant,Raigad,Alibaug,"Alibag beach road, Maharshi Karve Rd, Opp.urban bank ,ram Krushna housing society, Alibag, Maharashtra 402201",402201,9049035007,NO,,https://maps.app.goo.gl/SivTaK1mzHbZ17jX6,4.3,972,18.644943,72.87664204,Open,Large,Good,0,1,0,1,82.8,Very High
Kulswami Cottage,Restaurant,Raigad,Alibaug,"Navapada, chalamala, Thal, Alibag, Maharashtra 402209",402201,7620048248,YES,https://sites.google.com/view/kulswamicottagealibag/home,https://maps.app.goo.gl/hPYUmoXwAKwrLTNJA,4.8,922,18.67660022,72.86671698,Open,Large,Excellent,1,1,1,1,72.28,Very High
